year;region;crime_per
2009;Адыгея;110.72
2009;Алтайский край;222.12
2009;Амурская область;237.12
2009;Архангельская область;213.81
2009;Астраханская область;298.37
2009;Башкортостан;185.92
2009;Белгородская область;130.94
2009;Брянская область;197.57
2009;Бурятия;313.19
2009;Владимирская область;189.28
2009;Волгоградская область;190.62
2009;Вологодская область;226.97
2009;Воронежская область;133.54
2009;Дагестан;44.0
2009;Еврейская автономная область;258.38
2009;Забайкальский край;275.06
2009;Ивановская область;182.13
2009;Ингушетия;56.13
2009;Иркутская область;329.6
2009;Кабардино-Балкария;103.0
2009;Калининградская область;211.03
2009;Калмыкия;159.26
2009;Калужская область;193.7
2009;Камчатский край;187.59
2009;Карачаево-Черкесия;101.03
2009;Карелия;241.17
2009;Кемеровская область;254.12
2009;Кировская область;172.75
2009;Костромская область;158.15
2009;Краснодарский край;130.98
2009;Красноярский край;279.07
2009;Крым;
2009;Курганская область;269.37
2009;Курская область;179.17
2009;Ленинградская область;189.85
2009;Липецкая область;150.7
2009;Магаданская область;256.43
2009;Марий Эл;253.52
2009;Мордовия;111.99
2009;Москва;187.96
2009;Московская область;173.89
2009;Мурманская область;204.03
2009;Ненецкий автономный округ;231.98
2009;Нижегородская область;268.32
2009;Новгородская область;218.03
2009;Новосибирская область;288.67
2009;Омская область;194.46
2009;Оренбургская область;194.96
2009;Орловская область;188.98
2009;Пензенская область;145.31
2009;Пермский край;331.68
2009;Приморский край;285.24
2009;Псковская область;190.68
2009;Республика Алтай;296.11
2009;Республика Коми;256.19
2009;Республика Тыва;216.21
2009;Ростовская область;162.96
2009;Рязанская область;94.84
2009;Самарская область;247.27
2009;Санкт-Петербург;160.76
2009;Саратовская область;165.38
2009;Сахалинская область;257.86
2009;Свердловская область;263.57
2009;Севастополь;
2009;Северная Осетия;119.02
2009;Смоленская область;228.24
2009;Ставропольский край;151.06
2009;Тамбовская область;144.71
2009;Татарстан;187.15
2009;Тверская область;246.38
2009;Томская область;277.97
2009;Тульская область;114.08
2009;Тюменская область;304.48
2009;Удмуртия;254.04
2009;Ульяновская область;160.89
2009;Хабаровский край;325.83
2009;Хакасия;272.6
2009;Ханты-Мансийский автономный округ;248.43
2009;Челябинская область;245.63
2009;Чечня;38.39
2009;Чувашия;172.09
2009;Чукотский автономный округ;171.28
2009;Якутия;195.59
2009;Ямало-Ненецкий автономный округ;192.21
2009;Ярославская область;207.21
2010;Адыгея;106.29
2010;Алтайский край;197.54
2010;Амурская область;221.45
2010;Архангельская область;201.07
2010;Астраханская область;257.25
2010;Башкортостан;177.7
2010;Белгородская область;109.95
2010;Брянская область;182.46
2010;Бурятия;273.37
2010;Владимирская область;176.98
2010;Волгоградская область;172.88
2010;Вологодская область;202.08
2010;Воронежская область;117.66
2010;Дагестан;40.58
2010;Еврейская автономная область;226.42
2010;Забайкальский край;261.42
2010;Ивановская область;176.45
2010;Ингушетия;46.78
2010;Иркутская область;269.97
2010;Кабардино-Балкария;108.37
2010;Калининградская область;179.55
2010;Калмыкия;139.88
2010;Калужская область;177.13
2010;Камчатский край;168.49
2010;Карачаево-Черкесия;91.94
2010;Карелия;211.93
2010;Кемеровская область;236.99
