year;region;ec_crime_per
2008;Адыгея;7.01
2008;Алтайский край;3.44
2008;Амурская область;5.35
2008;Архангельская область;13.03
2008;Астраханская область;12.99
2008;Башкортостан;4.66
2008;Белгородская область;3.78
2008;Брянская область;6.08
2008;Бурятия;4.29
2008;Владимирская область;7.68
2008;Волгоградская область;8.0
2008;Вологодская область;4.27
2008;Воронежская область;3.74
2008;Дагестан;2.7
2008;Еврейская автономная область;4.76
2008;Забайкальский край;5.17
2008;Ивановская область;5.46
2008;Ингушетия;0.79
2008;Иркутская область;4.83
2008;Кабардино-Балкария;3.77
2008;Калининградская область;6.7
2008;Калмыкия;5.76
2008;Калужская область;5.6
2008;Камчатский край;14.36
2008;Карачаево-Черкесия;2.53
2008;Карелия;6.76
2008;Кемеровская область;2.29
2008;Кировская область;6.8
2008;Костромская область;5.59
2008;Краснодарский край;4.38
2008;Красноярский край;5.11
2008;Крым;
2008;Курганская область;4.68
2008;Курская область;6.43
2008;Ленинградская область;10.84
2008;Липецкая область;2.67
2008;Магаданская область;15.37
2008;Марий Эл;4.06
2008;Мордовия;5.75
2008;Москва;5.48
2008;Московская область;8.05
2008;Мурманская область;6.42
2008;Ненецкий автономный округ;7.4
2008;Нижегородская область;11.48
2008;Новгородская область;6.5
2008;Новосибирская область;5.92
2008;Омская область;5.63
2008;Оренбургская область;4.01
2008;Орловская область;8.04
2008;Пензенская область;9.34
2008;Пермский край;6.74
2008;Приморский край;5.81
2008;Псковская область;11.15
2008;Республика Алтай;8.07
2008;Республика Коми;4.28
2008;Республика Тыва;5.46
2008;Ростовская область;12.18
2008;Рязанская область;4.62
2008;Самарская область;7.02
2008;Санкт-Петербург;8.26
2008;Саратовская область;2.86
2008;Сахалинская область;6.13
2008;Свердловская область;4.84
2008;Севастополь;
2008;Северная Осетия;4.12
2008;Смоленская область;9.51
2008;Ставропольский край;5.36
2008;Тамбовская область;5.3
2008;Татарстан;5.13
2008;Тверская область;12.18
2008;Томская область;4.16
2008;Тульская область;7.03
2008;Тюменская область;6.71
2008;Удмуртия;5.21
2008;Ульяновская область;4.8
2008;Хабаровский край;12.1
2008;Хакасия;7.36
2008;Ханты-Мансийский автономный округ;4.87
2008;Челябинская область;4.43
2008;Чечня;0.45
2008;Чувашия;5.72
2008;Чукотский автономный округ;6.25
2008;Якутия;4.59
2008;Ямало-Ненецкий автономный округ;8.36
2008;Ярославская область;9.92
2009;Адыгея;15.77
2009;Алтайский край;15.02
2009;Амурская область;19.17
2009;Архангельская область;28.3
2009;Астраханская область;102.89
2009;Башкортостан;26.9
2009;Белгородская область;29.04
2009;Брянская область;31.12
2009;Бурятия;32.06
2009;Владимирская область;24.71
2009;Волгоградская область;37.83
2009;Вологодская область;29.07
2009;Воронежская область;18.41
2009;Дагестан;10.25
2009;Еврейская автономная область;18.92
2009;Забайкальский край;34.87
2009;Ивановская область;26.81
2009;Ингушетия;7.11
2009;Иркутская область;26.2
2009;Кабардино-Балкария;16.87
2009;Калининградская область;39.33
2009;Калмыкия;40.69
2009;Калужская область;32.82
2009;Камчатский край;42.87
2009;Карачаево-Черкесия;21.17
2009;Карелия;40.3
2009;Кемеровская область;19.77
2009;Кировская область;19.61
2009;Костромская область;34.89
2009;Краснодарский край;19.67
2009;Красноярский край;27.46
2009;Крым;
2009;Курганская область;22.0
2009;Курская область;27.45
2009;Ленинградская область;27.45
2009;Липецкая область;28.37
2009;Магаданская область;36.78
2009;Марий Эл;25.46
2009;Мордовия;27.94
2009;Москва;19.35
