year;region;salary
2005;Адыгея;4735.0
2005;Алтайский край;4538.0
2005;Амурская область;8312.0
2005;Архангельская область;8276.0
2005;Астраханская область;6411.0
2005;Башкортостан;6299.0
2005;Белгородская область;6182.0
2005;Брянская область;4719.0
2005;Бурятия;6964.0
2005;Владимирская область;5601.0
2005;Волгоградская область;5589.0
2005;Вологодская область;8079.0
2005;Воронежская область;5034.0
2005;Дагестан;3443.0
2005;Еврейская автономная область;6522.0
2005;Забайкальский край;6436.0
2005;Ивановская область;4680.0
2005;Ингушетия;4587.0
2005;Иркутская область;8713.0
2005;Кабардино-Балкария;4055.0
2005;Калининградская область;7963.0
2005;Калмыкия;3840.0
2005;Калужская область;6600.0
2005;Камчатский край;14557.0
2005;Карачаево-Черкесия;4026.0
2005;Карелия;8227.0
2005;Кемеровская область;8455.0
2005;Кировская область;5011.0
2005;Костромская область;5370.0
2005;Краснодарский край;5860.0
2005;Красноярский край;9971.0
2005;Курганская область;5068.0
2005;Курская область;4971.0
2005;Ленинградская область;7964.0
2005;Липецкая область;6013.0
2005;Магаданская область;11053.0
2005;Марий Эл;4606.0
2005;Мордовия;4196.0
2005;Москва;14421.0
2005;Московская область;9336.0
2005;Мурманская область;12580.0
2005;Ненецкий автономный округ;21978.0
2005;Нижегородская область;6207.0
2005;Новгородская область;6798.0
2005;Новосибирская область;6910.0
2005;Омская область;6088.0
2005;Оренбургская область;5549.0
2005;Орловская область;4739.0
2005;Пензенская область;4538.0
2005;Пермский край;6993.0
2005;Приморский край;8797.0
2005;Псковская область;5312.0
2005;Республика Алтай;5451.0
2005;Республика Коми;10931.0
2005;Республика Тыва;6121.0
2005;Ростовская область;5339.0
2005;Рязанская область;5623.0
2005;Самарская область;7717.0
2005;Санкт-Петербург;10215.0
2005;Саратовская область;4902.0
2005;Сахалинская область;15293.0
2005;Свердловская область;8252.0
2005;Северная Осетия;4257.0
2005;Смоленская область;5552.0
2005;Ставропольский край;4945.0
2005;Тамбовская область;4487.0
2005;Татарстан;5759.0
2005;Тверская область;5827.0
2005;Томская область;8939.0
2005;Тульская область;5859.0
2005;Тюменская область;8432.0
2005;Удмуртия;5854.0
2005;Ульяновская область;5117.0
2005;Хабаровский край;10518.0
2005;Хакасия;7497.0
2005;Ханты-Мансийский автономный округ;19259.0
2005;Челябинская область;7402.0
2005;Чувашия;4709.0
2005;Чукотский автономный округ;17924.0
2005;Якутия;11889.0
2005;Ямало-Ненецкий автономный округ;24467.0
2005;Ярославская область;6966.0
2007;Адыгея;7347.0
2007;Алтайский край;7240.0
2007;Амурская область;12746.0
2007;Архангельская область;13006.0
2007;Астраханская область;9219.0
2007;Башкортостан;9798.0
2007;Белгородская область;9369.0
2007;Брянская область;7508.0
2007;Бурятия;10579.0
2007;Владимирская область;8881.0
2007;Волгоградская область;8874.0
2007;Вологодская область;11914.0
2007;Воронежская область;8224.0
2007;Дагестан;5193.0
2007;Еврейская автономная область;10819.0
2007;Забайкальский край;11650.0
2007;Ивановская область;7589.0
2007;Ингушетия;6703.0
2007;Иркутская область;13111.0
2007;Кабардино-Балкария;6239.0
2007;Калининградская область;11835.0
2007;Калмыкия;6083.0
2007;Калужская область;10195.0
2007;Камчатский край;25069.0
2007;Карачаево-Черкесия;6580.0
2007;Карелия;12379.0
2007;Кемеровская область;11876.0
2007;Кировская область;7772.0
2007;Костромская область;8289.0
2007;Краснодарский край;9139.0
2007;Красноярский край;14547.0
2007;Курганская область;8092.0
2007;Курская область;7740.0
2007;Ленинградская область;12675.0
2007;Липецкая область;9805.0
2007;Магаданская область;19086.0
2007;Марий Эл;7215.0
2007;Мордовия;7038.0
2007;Москва;24775.0
2007;Московская область;15816.0
2007;Мурманская область;17361.0
2007;Ненецкий автономный округ;30660.0
2007;Нижегородская область;9797.0
2007;Новгородская область;10085.0
2007;Новосибирская область;11089.0
2007;Омская область;9810.0
2007;Оренбургская область;8532.0
2007;Орловская область;7423.0
2007;Пензенская область;7113.0
2007;Пермский край;11144.0
2007;Приморский край;12912.0
2007;Псковская область;7865.0
2007;Республика Алтай;7883.0
2007;Республика Коми;15889.0
2007;Республика Тыва;9585.0
2007;Ростовская область;8610.0
2007;Рязанская область;9040.0
2007;Самарская область;11627.0
2007;Санкт-Петербург;17104.0
2007;Саратовская область;7853.0
2007;Сахалинская область;23363.0
2007;Свердловская область;13019.0
2007;Северная Осетия;6487.0
2007;Смоленская область;8724.0
2007;Ставропольский край;7591.0
2007;Тамбовская область;7063.0
2007;Татарстан;9184.0
2007;Тверская область;9077.0
2007;Томская область;14269.0
2007;Тульская область;9056.0
2007;Тюменская область;14342.0
2007;Удмуртия;8795.0
2007;Ульяновская область;7833.0
2007;Хабаровский край;14809.0
2007;Хакасия;11230.0
2007;Ханты-Мансийский автономный округ;28322.0
2007;Челябинская область;10897.0
2007;Чувашия;7415.0
2007;Чукотский автономный округ;25948.0
2007;Якутия;16872.0
