year;region;unsolved
2009;Адыгея;31.94
2009;Алтайский край;38.23
2009;Амурская область;36.95
2009;Архангельская область;44.62
2009;Астраханская область;38.99
2009;Башкортостан;34.53
2009;Белгородская область;23.99
2009;Брянская область;28.21
2009;Бурятия;48.28
2009;Владимирская область;43.77
2009;Волгоградская область;35.12
2009;Вологодская область;42.78
2009;Воронежская область;39.16
2009;Дагестан;25.72
2009;Еврейская автономная область;41.91
2009;Забайкальский край;42.32
2009;Ивановская область;45.32
2009;Ингушетия;32.0
2009;Иркутская область;37.98
2009;Кабардино-Балкария;43.1
2009;Калининградская область;43.44
2009;Калмыкия;31.45
2009;Калужская область;41.08
2009;Камчатский край;34.93
2009;Карачаево-Черкесия;34.51
2009;Карелия;33.72
2009;Кемеровская область;47.46
2009;Кировская область;36.13
2009;Костромская область;27.15
2009;Краснодарский край;28.99
2009;Красноярский край;40.8
2009;Крым;
2009;Курганская область;40.43
2009;Курская область;42.98
2009;Ленинградская область;51.2
2009;Липецкая область;46.47
2009;Магаданская область;35.72
2009;Марий Эл;49.39
2009;Мордовия;16.62
2009;Москва;59.33
2009;Московская область;51.78
2009;Мурманская область;44.03
2009;Ненецкий автономный округ;31.72
2009;Нижегородская область;54.24
2009;Новгородская область;49.24
2009;Новосибирская область;41.58
2009;Омская область;34.23
2009;Оренбургская область;35.15
2009;Орловская область;37.88
2009;Пензенская область;44.16
2009;Пермский край;49.82
2009;Приморский край;50.58
2009;Псковская область;44.58
2009;Республика Алтай;21.83
2009;Республика Коми;36.87
2009;Республика Тыва;21.22
2009;Ростовская область;47.0
2009;Рязанская область;31.72
2009;Самарская область;54.18
2009;Санкт-Петербург;48.14
2009;Саратовская область;44.75
2009;Сахалинская область;48.12
2009;Свердловская область;50.7
2009;Севастополь;
2009;Северная Осетия;38.29
2009;Смоленская область;43.15
2009;Ставропольский край;29.06
2009;Тамбовская область;25.84
2009;Татарстан;44.71
2009;Тверская область;62.78
2009;Томская область;38.93
2009;Тульская область;28.52
2009;Тюменская область;54.7
2009;Удмуртия;42.26
2009;Ульяновская область;44.9
2009;Хабаровский край;51.4
2009;Хакасия;38.21
2009;Ханты-Мансийский автономный округ;43.32
2009;Челябинская область;48.65
2009;Чечня;21.09
2009;Чувашия;32.25
2009;Чукотский автономный округ;23.52
2009;Якутия;42.04
2009;Ямало-Ненецкий автономный округ;32.54
2009;Ярославская область;54.36
2010;Адыгея;30.23
2010;Алтайский край;35.61
2010;Амурская область;36.62
2010;Архангельская область;44.04
2010;Астраханская область;36.89
2010;Башкортостан;35.02
2010;Белгородская область;35.54
2010;Брянская область;27.2
2010;Бурятия;49.19
2010;Владимирская область;40.4
2010;Волгоградская область;38.98
2010;Вологодская область;44.32
2010;Воронежская область;41.95
2010;Дагестан;24.52
2010;Еврейская автономная область;49.09
2010;Забайкальский край;44.52
2010;Ивановская область;43.68
2010;Ингушетия;50.57
2010;Иркутская область;55.72
2010;Кабардино-Балкария;47.15
2010;Калининградская область;53.09
2010;Калмыкия;30.08
2010;Калужская область;40.54
2010;Камчатский край;28.87
2010;Карачаево-Черкесия;34.87
2010;Карелия;40.44
2010;Кемеровская область;42.5
2010;Кировская область;37.11
2010;Костромская область;26.32
2010;Краснодарский край;37.15
2010;Красноярский край;43.47
2010;Крым;
2010;Курганская область;39.59
2010;Курская область;41.61
2010;Ленинградская область;52.5
2010;Липецкая область;48.27
2010;Магаданская область;35.1
2010;Марий Эл;39.73
2010;Мордовия;12.89
2010;Москва;66.69
2010;Московская область;48.28
2010;Мурманская область;43.61
2010;Ненецкий автономный округ;45.8
2010;Нижегородская область;60.86
2010;Новгородская область;49.33
2010;Новосибирская область;45.68
2010;Омская область;34.25
2010;Оренбургская область;38.11
2010;Орловская область;36.93
2010;Пензенская область;40.29
2010;Пермский край;50.02
2010;Приморский край;54.32
2010;Псковская область;46.56
2010;Республика Алтай;22.43
2010;Республика Коми;29.05
2010;Республика Тыва;29.1
2010;Ростовская область;47.52
2010;Рязанская область;39.83
2010;Самарская область;54.57
2010;Санкт-Петербург;46.82
2010;Саратовская область;46.96
2010;Сахалинская область;45.19
2010;Свердловская область;45.23
2010;Севастополь;
2010;Северная Осетия;32.67
2010;Смоленская область;42.56
